Location,lat,lon,cat,grp,cat1,cat2
Sun Flowers Mural,42.373684,-71.105002,Art: Mural,Art,Mural,NA
Sun Moon and Stars Island,42.243781,-71.003503,Art: Art,Art,Art,NA
Sun Mural,42.370685,-71.076611,Art: Mural,Art,Mural,NA
Sundial,42.293569,-71.099221,Art: Artifact,Art,Artifact,NA
Sunflower Bike Rack ,42.382503,-71.117307,Art: Bike Rack,Art,Bike Rack,NA
Sunflower Mosaic,42.417687,-71.105513,Art: Mosaic,Art,Mosaic,NA
Sunflower Securement,42.372364,-71.091208,Art: Bike Rack,Art,Bike Rack,NA
Sunflower Switch Box,42.429307,-71.05173,Art: Electrical Box,Art,Electrical Box,NA
"Sunflowers for Vincent, 1983",42.314144,-71.043616,Art: Installation,Art,Installation,NA
Sunken City Mural,42.364745,-71.033627,Art: Mural,Art,Mural,NA
Sunset Mural,42.352693,-71.131476,Art: Mural,Art,Mural,NA
Sunset Mural,42.325346,-71.069613,Art: Mural,Art,Mural,NA
Sunshine Travel Bus and Great Wall,42.350934,-71.060609,Art: Architecture,Art,Architecture,NA
Surfing Sam Adams Mural,42.314599,-71.102706,Art: Mural,Art,Mural,NA
Swan Fountain,42.205073,-71.112305,Art: Fountain,Art,Fountain,NA
Sweet Life Mural ,42.273804,-71.067819,Art: Mural,Art,Mural,NA
Swing Time,42.344345,-71.044968,Art: Installation,Art,Installation,NA
Swiss Alps Mural,42.36299,-71.128251,Art: Mural,Art,Mural,NA
Sword of China,42.378457,-71.115709,Art: Sculpture,Art,Sculpture,NA
Synthetic Effervescence,42.408868,-71.235252,Art: Sculpture,Art,Sculpture,NA
Tadpole Playground Archway and Frog Statue,42.35605,-71.064867,Art: Statue,Art,Statue,NA
Talking To Angels,42.265172,-71.014399,"Art: Statue, religious",Art,Statue,Religious
Tarboro Electrical Box,42.313683,-71.100492,Art: Electrical Box,Art,Electrical Box,NA
Teaching from the Pirkei Avot Carved into a Wall,42.355737,-71.053609,Art: Architecture,Art,Architecture,NA
Ted Williams,42.346099,-71.095803,Art: Statue,Art,Statue,NA
Templum,42.344947,-71.086154,Art: Sculpture,Art,Sculpture,NA
Terrace Lion,42.338829,-71.12138,Art: Architecture,Art,Architecture,NA
Terriers Vs Minutemen Mural,42.350792,-71.113448,Art: Mural,Art,Mural,NA
Tesla Coil,42.367517,-71.071915,Art: Tech,Art,Tech,NA
Tetris Chairs,42.375831,-71.115901,Art: Installation,Art,Installation,NA
Thayer Academy Tiger Mosaic,42.208769,-71.007549,Art: Mosaic,Art,Mosaic,NA
The 520 Eagle,42.344752,-71.070121,Art: Architecture,Art,Architecture,NA
The Arc of History Mural,42.372409,-71.091554,Art: Mural,Art,Mural,NA
The Area 4 Story Mural in Camb,42.366123,-71.091693,Art: Mural,Art,Mural,NA
"The Artist Building, Fort Point Channel",42.349942,-71.049322,Art: Architecture,Art,Architecture,NA
The Atom at Play,42.316486,-71.103461,Art: Installation,Art,Installation,NA
The Big Sail,42.359716,-71.088946,Art: Installation,Art,Installation,NA
The Blue Bunny,42.248191,-71.172972,Art: Sculpture,Art,Sculpture,NA
The Blue Dragon Weather Vane,42.349192,-71.04949,Art: Weathervane,Art,Weathervane,NA
The Blue Frog,42.313078,-71.113712,Art: Sculpture,Art,Sculpture,NA
The British Column,42.451654,-71.290353,Art: Architecture,Art,Architecture,NA
The Children's Chairs Project,42.339867,-71.096565,Art: Installation,Art,Installation,NA
The Clam Box,42.276358,-71.009144,Art: Electrical Box,Art,Electrical Box,NA
The Compass Sculpture ,42.339159,-71.090236,Art: Sculpture,Art,Sculpture,NA
The Crimson Bovine,42.363199,-71.128586,Art: Sculpture,Art,Sculpture,NA
The Cross on the Hill,42.391964,-71.011518,"Art: Statue, religious",Art,Statue,Religious
The Dance of Light,42.444838,-71.242815,Art: Statue,Art,Statue,NA
The Dance Statue,42.34193,-71.106266,Art: Statue,Art,Statue,NA
The DeCordova Sculpture Park a,42.430924,-71.311408,Art: Sculpture,Art,Sculpture,NA
The Dinner,42.317174,-71.104555,Art: Literary,Art,Literary,NA
The Dragon of Asgard ,42.362787,-71.099541,Art: Installation,Art,Installation,NA
The Faces of Dudley,42.329113,-71.085132,Art: Mural,Art,Mural,NA
The Faces Shed,42.326411,-71.087785,Art: Mural,Art,Mural,NA
