Location,lat,lon,cat,grp,cat1,cat2
Weeping Stone Wall,42.350655,-71.071423,Art: Architecture,Art,Architecture,NA
Welcome To Boston Mural,42.369081,-71.028806,Art: Mural,Art,Mural,NA
Welcome to Chinatown Superfund Banner Mural,42.348244,-71.06554,Art: Mural,Art,Mural,NA
Welcome To Minute Man National Historic Park,42.44911,-71.289984,"Art: Statue, minuteman",Art,Statue,Minuteman
Welcome to Newton Electrical Box,42.348048,-71.247404,Art: Electrical Box,Art,Electrical Box,NA
Welcome To West Medford Mural,42.417882,-71.131232,Art: Mural,Art,Mural,NA
Weld Ave. Mural,42.315152,-71.09795,Art: Mural,Art,Mural,NA
Welles Avenue Fence Painting,42.289371,-71.066134,Art: Art,Art,Art,NA
Welles Avenue Wall Graffiti,42.289957,-71.063287,Art: Mural,Art,Mural,NA
Wendell Phillips Statue ,42.352672,-71.068271,Art: Statue,Art,Statue,NA
Wentworth Leopard Statue,42.336572,-71.097842,Art: Statue,Art,Statue,NA
West Canton Street Child Statue,42.34375,-71.07548,Art: Statue,Art,Statue,NA
Western Front,42.364613,-71.114013,Art: Mural (NO LONGER THERE),Art,Mural (NO LONGER THERE),NA
Weston Minute Men Memorial Plaque,42.368734,-71.299652,"Art: Statue, minuteman",Art,Statue,Minuteman
WGBH Parking Mural,42.357034,-71.146186,Art: Mural,Art,Mural,NA
Whalburg Wall,42.251614,-70.92259,Art: Architecture,Art,Architecture,NA
Whale Mural,42.354797,-71.150505,Art: Mural,Art,Mural,NA
What's Inside Door Mural,42.363755,-71.054335,Art: Mural,Art,Mural,NA
What Demonic Knockers ,42.366253,-71.058287,Art: Architecture,Art,Architecture,NA
Wheat Tile Mosaic,42.382511,-71.13141,Art: Mosaic,Art,Mosaic,NA
Wheel of Men,42.338416,-71.092014,Art: Sculpture,Art,Sculpture,NA
Wheel Sculpture,42.350308,-71.098843,Art: Sculpture,Art,Sculpture,NA
Wheel with Wings,42.265007,-71.020633,Art: Architecture,Art,Architecture,NA
Wheel with Wings! ,42.363246,-71.098476,Art: Architecture,Art,Architecture,NA
Widener West Rose Statue,42.373087,-71.11668,Art: Statue,Art,Statue,NA
Wild Nature Art Box,42.463468,-70.944104,Art: Electrical Box,Art,Electrical Box,NA
Wild Willy Mural,42.365223,-71.181777,Art: Mural,Art,Mural,NA
"William Ellery Channing, Unitarian",42.352168,-71.070678,"Art: Statue, religious",Art,Statue,Religious
William Lloyd Garrison,42.351676,-71.079027,Art: Statue,Art,Statue,NA
William McKinley Mural,42.344561,-71.073181,Art: Mural,Art,Mural,NA
Winchester Angel Island,42.454744,-71.132383,"Art: Statue, religious",Art,Statue,Religious
Winchester Black Horse,42.451389,-71.13751,Art: Storefront,Art,Storefront,NA
Winchester Common Flower Fountain,42.452303,-71.13793,Art: Fountain,Art,Fountain,NA
Winchester McKenna Sculpture,42.453639,-71.133119,Art: Sculpture,Art,Sculpture,NA
Winchester Some Gave All Mural,42.46496,-71.136109,Art: Mural,Art,Mural,NA
Winchester Virgin Mary Statue,42.455088,-71.131929,"Art: Statue, religious",Art,Statue,Religious
Winchester Water Fountain,42.451838,-71.138409,Art: Fountain,Art,Fountain,NA
Wind Sculpture,42.475236,-71.251785,Art: Sculpture,Art,Sculpture,NA
Wind Vane In Light,42.344353,-71.083627,Art: Weathervane,Art,Weathervane,NA
Wind Wheels,42.379225,-71.024774,Art: Installation,Art,Installation,NA
Wind Wind Wind,42.359598,-71.056857,Art: Installation,Art,Installation,NA
Windbeater ,42.40352,-71.021403,Art: Installation,Art,Installation,NA
Window Dancers,42.342213,-71.064544,Art: Art,Art,Art,NA
Windows Surface Wall,42.347136,-71.082371,Art: Architecture,Art,Architecture,NA
Wine-Rack Ironwork,42.320242,-71.172573,Art: Architecture,Art,Architecture,NA
Wine Emporium Mural,42.342933,-71.078324,Art: Mural,Art,Mural,NA
Wines And Liquors Barrel,42.356491,-71.0695,Art: Sign,Art,Sign,NA
Wing Torch Lights,42.355374,-71.05528,Art: Architecture,Art,Architecture,NA
Winnie the Pooh Statue,42.335598,-71.207432,Art: Statue,Art,Statue,NA
Winter Column,42.483398,-71.028043,Art: Sculpture,Art,Sculpture,NA
Winter King,42.375083,-71.143997,"Art: Sculpture, religious",Art,Sculpture,Religious
Winthrop Eagle Statue,42.370238,-71.119486,Art: Statue,Art,Statue,NA
Winthrop Jesus and Angels,42.359717,-70.971858,"Art: Statue, religious",Art,Statue,Religious
Winthrop Street Mural,42.411705,-71.121608,Art: Mural,Art,Mural,NA
Wise Words Round,42.330844,-71.092391,Art: Architecture,Art,Architecture,NA
Wish for Peace,42.418887,-71.112076,Art: Mural,Art,Mural,NA
Woburn Angels Statue,42.476154,-71.15049,"Art: Statue, religious",Art,Statue,Religious
Woburn Choate Fountain,42.476217,-71.153827,Art: Fountain,Art,Fountain,NA
Woburn Honor Memory Statue,42.479575,-71.152271,Art: Statue,Art,Statue,NA
Woburn Horse Weathervane,42.477777,-71.150709,Art: Weathervane,Art,Weathervane,NA
Woburn Pattern Mural,42.478517,-71.1518,Art: Mural,Art,Mural,NA
Woburn Senior Center Fountain,42.506073,-71.147229,Art: Fountain,Art,Fountain,NA
Woburn Veterans Office Flag Mural,42.506432,-71.147015,Art: Mural,Art,Mural,NA
Woman Reclining with Book,42.367708,-71.25819,Art: Statue,Art,Statue,NA
Woman Stretching,42.345798,-71.143532,Art: Sculpture,Art,Sculpture,NA
Woman with Wreath,42.371145,-71.140995,"Art: Statue, funerary",Art,Statue,Funerary
Women's Suffrage,42.346897,-71.092989,Art: Architecture,Art,Architecture,NA
Women are People,42.37436,-71.039798,Art: Mural,Art,Mural,NA
Women At Work,42.428409,-71.070806,Art: Electrical Box,Art,Electrical Box,NA
Wonderful Art,42.311743,-71.263998,Art: Art,Art,Art,NA
Wood and Stone Sculpture,42.361191,-71.107742,Art: Sculpture,Art,Sculpture,NA
Wooden Sea Monster Sculpture,42.341364,-71.136338,Art: Sculpture,Art,Sculpture,NA
Wooden Stringed-Instrument Player Sculpture,42.363301,-71.260289,Art: Sculpture,Art,Sculpture,NA
Wooden Xylophone Sculpture,42.297646,-71.108252,Art: Sculpture,Art,Sculpture,NA
World Box,42.41859,-71.110655,Art: Electrical Box,Art,Electrical Box,NA
World Portal,42.324222,-71.07399,Art: Mural,Art,Mural,NA
World War II Peace Fountain,42.323095,-71.207125,Art: Fountain,Art,Fountain,NA
Wormwood Park Lions,42.347542,-71.050421,Art: Statue,Art,Statue,NA
Wrought Iron Lantern ,42.340506,-71.127953,Art: Architecture,Art,Architecture,NA
Wrought Porticos,42.35782,-71.054339,Art: Architecture,Art,Architecture,NA
Wyllie Shrouded Urn ,42.256921,-70.998932,Art: Ceramics,Art,Ceramics,NA
Yang's MMA Mural,42.298977,-71.114035,Art: Mural,Art,Mural,NA
Yankee Lobster Mural,42.34776,-71.036555,Art: Mural,Art,Mural,NA
Yayla Mural ,42.368385,-71.098167,Art: Mural,Art,Mural,NA
Year Round Menora,42.347593,-71.129148,Art: Art,Art,Art,NA
Yellow and Flowers Control Box,42.369183,-71.085481,Art: Electrical Box,Art,Electrical Box,NA
Yellow Disk Sculpture,42.244648,-71.00719,Art: Sculpture,Art,Sculpture,NA
Yesterdays,42.247535,-70.979661,Art: Mural,Art,Mural,NA
You Are Loved Mural ,42.299813,-71.060074,Art: Mural,Art,Mural,NA
Youth Art In Action,42.301961,-71.059589,Art: Art,Art,Art,NA
Youth Corps. Mural,42.372024,-71.034199,Art: Mural,Art,Mural,NA
Yucatan Mural,42.294043,-71.136737,Art: Mural,Art,Mural,NA
Yuko Adachi Painted Powerbox,42.340254,-71.068715,Art: Electrical Box,Art,Electrical Box,NA
Zaftigs,42.343853,-71.123799,Art: Mural,Art,Mural,NA
Zaftigs 10th Anniversary Mural,42.344066,-71.123582,Art: Mural,Art,Mural,NA
Zen Box,42.426903,-71.066718,Art: Electrical Box,Art,Electrical Box,NA
Zestos Mural,42.319393,-71.111541,Art: Mural,Art,Mural,NA
Ziegler St. Mural,42.329402,-71.08316,Art: Mural,Art,Mural,NA
Zodiac Façade,42.359742,-71.061435,Art: Architecture,Art,Architecture,NA
Zodiac Fountain,42.350631,-71.068943,Art: Fountain,Art,Fountain,NA
